method,inference_nstep,evaluation_nstep,start,iteration,elapsed_seconds,pseudo_loglik,euler20_loglik,euler20_se,eval_particles,eval_replicates,evaluation_seed,evaluation_status
DS order-1.5 block Gaussian,20,20,11,48,404.45878734299913,-4054.083146676362,-3970.701393953236,,5000,1,32642485,ok
DS order-1.5 block Gaussian,20,20,11,60,505.75625807093456,-3955.9687296190345,-3899.0405176586964,,5000,1,32642497,ok
DS order-1.5 block Gaussian,20,20,11,71,604.710279627936,-3977.6644070440325,-3897.171546597926,,5000,1,32642508,ok
DS order-1.5 block Gaussian,20,20,11,82,703.692959418986,-3985.517079756368,-3894.8370509383417,,5000,1,32642519,ok
DS order-1.5 block Gaussian,20,20,11,93,802.6566868679365,-3984.742746230235,-3907.006325329787,,5000,1,32642530,ok
DS order-1.5 block Gaussian,20,20,12,0,10.503794879070483,-7125.5578845588225,-7072.7092247572255,,5000,1,32643434,ok
DS order-1.5 block Gaussian,20,20,12,11,100.98889672406949,-6009.854039741836,-6028.155995172216,,5000,1,32643445,ok
DS order-1.5 block Gaussian,20,20,12,15,132.8646677120123,-5905.148331997989,-5897.686076602628,,5000,1,32643449,ok
DS order-1.5 block Gaussian,20,20,13,0,10.685636157984845,-5984.871570942456,-6025.081646245883,,5000,1,32644431,ok
DS order-1.5 block Gaussian,20,20,13,11,101.16380044806283,-4741.421067256348,-4573.569184637274,,5000,1,32644442,ok
DS order-1.5 block Gaussian,20,20,13,24,207.59551611798815,-4476.425824743194,-4369.431455592629,,5000,1,32644455,ok
DS order-1.5 block Gaussian,20,20,13,36,306.07591971207876,-4387.160943882839,-4292.083905788257,,5000,1,32644467,ok
DS order-1.5 block Gaussian,20,20,13,48,404.5856901049847,-4317.32101428801,-4215.316229008213,,5000,1,32644479,ok
DS order-1.5 block Gaussian,20,20,13,60,505.86183990503196,-4305.549507659389,-4239.119182768226,,5000,1,32644491,ok
DS order-1.5 block Gaussian,20,20,13,72,604.4044021730078,-4270.936889367974,-4233.782160303828,,5000,1,32644503,ok
DS order-1.5 block Gaussian,20,20,13,84,702.8896746870596,-4265.898332942588,-4247.529890545059,,5000,1,32644515,ok
DS order-1.5 block Gaussian,20,20,13,96,801.408779165009,-4245.048494820576,-4224.604491018476,,5000,1,32644527,ok
DS order-1.5 block Gaussian,20,20,14,0,10.492034223978408,-35503.65380037693,-10850.234241777005,,5000,1,32645428,ok
DS order-1.5 block Gaussian,20,20,14,11,100.98211495100986,-6690.529123389447,-6166.760633944894,,5000,1,32645439,ok
DS order-1.5 block Gaussian,20,20,14,24,207.40078387304675,-6055.206663230561,-5951.910346917592,,5000,1,32645452,ok
DS order-1.5 block Gaussian,20,20,14,36,305.88946665497497,-5993.970932587739,-5908.306058210419,,5000,1,32645464,ok
DS order-1.5 block Gaussian,20,20,14,48,404.3814378430834,-5893.624690852814,-5844.701907060301,,5000,1,32645476,ok
DS order-1.5 block Gaussian,20,20,14,60,505.6680015739985,-5761.69939497122,-5704.366776238325,,5000,1,32645488,ok
